"created_at","screen_name","text","name","location","is_retweet","date"
2020-05-14 18:44:56,"BarackObama","Vote.","Barack Obama","Washington, DC",FALSE,2020-05-14
2020-05-14 15:30:44,"BarackObama","Michelle and I want to do our part to give all you parents a break today, so we’re reading “The Word Collector” for @chipublib. It’s a fun book that vividly illustrates the transformative power of words––and we hope you enjoy it as much as we did. https://t.co/ADYbL6Dzg4","Barack Obama","Washington, DC",FALSE,2020-05-14
2020-05-13 23:05:11,"BarackObama","Despite all the time that’s been lost, we can still make real progress against the virus, protect people from the economic fallout, and more safely approach something closer to normal if we start making better policy decisions now.
https://t.co/pfokyI8GiB","Barack Obama","Washington, DC",FALSE,2020-05-13
2020-05-11 21:06:14,"BarackObama","Change comes when all of us step up and play our part in this democracy. By encouraging our young people, like these students from @ChiPubSchools, to start engaging in our civic life today, we’re already creating something better for tomorrow. https://t.co/9ScwPruoyA","Barack Obama","Washington, DC",FALSE,2020-05-11
2020-05-10 15:03:15,"BarackObama","Even if you can’t give the moms in your life a hug today, I hope you can give them an extra thank you today. Thank you and Happy Mother’s Day to the woman who makes it all possible. Love you, @michelleobama. https://t.co/E9ebxaSBpy","Barack Obama","Washington, DC",FALSE,2020-05-10
2020-05-06 14:10:45,"BarackObama","There’s no limit to the devotion I’ve seen in teachers like these @ChiPubSchools educators. Their dedication shapes the best parts of who we become. I couldn’t be more thankful for their work, especially as they shift lessons online to keep students on track during this crisis. https://t.co/xYECcrAxdE","Barack Obama","Washington, DC",FALSE,2020-05-06
2020-05-05 15:05:41,"BarackObama","I’ve always loved joining commencements––the culmination of years of hard work and sacrifice. Even if we can’t get together in person this year, Michelle and I are excited to celebrate the nationwide Class of 2020 and recognize this milestone with you and your loved ones. https://t.co/ngR2ykx3A2","Barack Obama","Washington, DC",FALSE,2020-05-05
2020-05-01 18:25:11,"BarackObama","The folks of the Chicago @fooddepository—and food banks in communities like yours—are working overtime to feed the vulnerable and families who’ve fallen on hard times. But even as demand has spiked, donations have slowed. Their incredible efforts are worth supporting if you can. https://t.co/kSdijlyHLH","Barack Obama","Washington, DC",FALSE,2020-05-01
2020-04-27 17:22:11,"BarackObama","The pandemic has magnified the financial insecurity of too many American families, the deep and real racial disparities in our society – and the imbalanced burdens on working moms. We have to create something better for America on the other side of this. https://t.co/eyy3dC22Ze","Barack Obama","Washington, DC",FALSE,2020-04-27
2020-04-25 20:49:19,"BarackObama","In moments of crisis, we look out for one other. And we need leaders with empathy who will bring people together rather than drive them apart. @JoeBiden has the character and experience to guide us through one of our darkest times and heal us through a long recovery. https://t.co/JkaBWYejKh","Barack Obama","Washington, DC",FALSE,2020-04-25
2020-04-25 00:00:58,"BarackObama","This pandemic has painfully brought to the surface many of the reasons I launched @MBK_Alliance—structural racism robs too many of our kids of their futures. The leaders on today's call aren't just tackling this crisis; they’re helping us build a more equitable future for all. https://t.co/9dsedZYt0E","Barack Obama","Washington, DC",FALSE,2020-04-25
2020-04-24 20:53:55,"BarackObama","If we want life to approach anything like normal anytime soon, we need a comprehensive testing program. It’s not going to be cheap, but it will ultimately pay off many times over in saved lives, saved businesses, and saved jobs. https://t.co/pnN9KVcvQR","Barack Obama","Washington, DC",FALSE,2020-04-24
2020-04-22 19:40:36,"BarackObama","While we continue to wait for a coherent national plan to navigate this pandemic, states like Massachusetts are beginning to adopt their own public health plans to combat this virus––before it's too late. https://t.co/Eb2Hz8H8vU","Barack Obama","Washington, DC",FALSE,2020-04-22
2020-04-22 15:32:30,"BarackObama","We've all had to adapt to cope with a pandemic. Climate change will force far harsher changes on our kids. All of us should follow the young people who've led the efforts to protect our planet for generations, and demand more of our leaders at every level. https://t.co/uNueQl5bNX","Barack Obama","Washington, DC",FALSE,2020-04-22
2020-04-20 17:01:39,"BarackObama","Parents, you deserve a break – Michelle’s got storytime handled every Monday. She’s one of the best, I promise. (And I confess it makes me a little nostalgic.) https://t.co/Pmz8kRNMBC","Barack Obama","Washington, DC",FALSE,2020-04-20
2020-04-17 19:52:14,"BarackObama","Proud of the leaders in my hometown of Chicago who are showing us what it means to be there for each other––as neighbors and as citizens. https://t.co/DjnC1F9ph7","Barack Obama","Washington, DC",FALSE,2020-04-17
2020-04-17 14:45:45,"BarackObama","When I think of people I’ve counted on over the years, Sarah Hurwitz comes to mind. She's the talented author of @HereAllAlong, and a longtime member of my team. Here she shares her experience with faith, traditions, and staying connected during this time. https://t.co/pftk4JkhKQ","Barack Obama","Washington, DC",FALSE,2020-04-17
2020-04-15 16:43:48,"BarackObama","Democracy depends on an informed citizenry and social cohesion. Here’s a look at how misinformation can spread through social media, and why it can hurt our ability to respond to crises. https://t.co/qnLcR3mh8A","Barack Obama","Washington, DC",FALSE,2020-04-15
2020-04-14 16:02:07,"BarackObama","For all of us who love this country and are willing to do our part to make sure it lives up to its highest ideals – now’s the time to fight for what we believe in. Join us at https://t.co/Kboaxi3MVL. And I’ll see you on the campaign trail as soon as I can.","Barack Obama","Washington, DC",FALSE,2020-04-14
2020-04-14 15:47:23,"BarackObama","I’m proud to endorse my friend @JoeBiden for President of the United States. Let's go: https://t.co/maHVGRozkX","Barack Obama","Washington, DC",FALSE,2020-04-14
2020-04-13 18:01:58,"BarackObama","Dreamers have contributed so much to our country, and they are risking their lives fighting on the frontlines of this pandemic. They deserve permanent immigration status and a pathway to citizenship—as they are Americans in every way but on paper. https://t.co/e4IYqX3WIy","Barack Obama","Washington, DC",FALSE,2020-04-13
2020-04-13 15:33:36,"BarackObama","We can't deny that racial and socioeconomic factors are playing a role in who is being hit the hardest by the virus. It's a reminder for our policymakers to keep our most vulnerable communities at the forefront when making decisions.
https://t.co/aipc8p7Hwh","Barack Obama","Washington, DC",FALSE,2020-04-13
2020-04-12 14:41:33,"BarackObama","Although our celebrations may look different this year, our unwavering faith remains the same. For me, Easter is a time of hope––a reminder of rebirth and renewal––and a belief in a better day to come. From my family to yours, we wish you all a blessed and joyful Easter. https://t.co/xEsgxOarQ5","Barack Obama","Washington, DC",FALSE,2020-04-12
2020-04-10 21:08:07,"BarackObama","Let’s not use the tragedy of a pandemic to compromise our democracy. Check the facts of vote by mail. https://t.co/aTNxRV4Ws3","Barack Obama","Washington, DC",FALSE,2020-04-10
2020-04-10 21:08:06,"BarackObama","Everyone should have the right to vote safely, and we have the power to make that happen. This shouldn't be a partisan issue. https://t.co/gL38DpYEmu","Barack Obama","Washington, DC",FALSE,2020-04-10
2020-04-10 21:08:05,"BarackObama","No one should be forced to choose between their right to vote and their right to stay healthy like the debacle in Wisconsin this week. https://t.co/fbDCbOb9qN","Barack Obama","Washington, DC",FALSE,2020-04-10
2020-04-10 13:50:02,"BarackObama","Some good news: states that started social distancing early and aggressively, like California, have avoided overwhelmed health care systems. It’s critical that we continue to listen to the evidence and experts and practice social distancing. https://t.co/56RgGeAfr7","Barack Obama","Washington, DC",FALSE,2020-04-10
2020-04-09 21:00:27,"BarackObama","Mayors have been working hard to help us get through this pandemic, and they’ll have just as big a task to help people through hard times ahead. I spent some time with many of them today to thank them for their efforts, and asked them to keep up the good work. https://t.co/YzqPMPo8m2","Barack Obama","Washington, DC",FALSE,2020-04-09
2020-04-08 21:18:19,"BarackObama","Through centuries of persecution, exile and struggle, the story of Passover has reminded the Jewish people––and all of humanity––of the power to overcome even the greatest of odds. Michelle and I send our warmest wishes to those celebrating with loved ones at home or virtually.","Barack Obama","Washington, DC",FALSE,2020-04-08
2020-04-08 14:15:54,"BarackObama","Social distancing bends the curve and relieves some pressure on our heroic medical professionals. But in order to shift off current policies, the key will be a robust system of testing and monitoring – something we have yet to put in place nationwide. https://t.co/evkTSrzReB","Barack Obama","Washington, DC",FALSE,2020-04-08
2020-04-07 18:40:15,"BarackObama","My advisor and friend @cecmunoz has been someone I’ve turned to for years. In her new book, More Than Ready, she shares her story and an empowering message to women, especially women of color, that they are the leaders we need to make a change in our world. https://t.co/6bQski6N23","Barack Obama","Washington, DC",FALSE,2020-04-07
2020-04-07 16:02:23,"BarackObama","It’s World Health Day, and we owe a profound debt of gratitude to all our medical professionals. They’re still giving their all for us every day, at great risk to themselves, and we can’t thank them enough for their bravery and their service.","Barack Obama","Washington, DC",FALSE,2020-04-07
2020-04-06 22:54:01,"BarackObama","Bill Withers was a true American master. His music, rooted in the everyday joys and sorrows of working people, was soulful, wise and life-affirming––a perfect tonic for hard times. https://t.co/P8cusIny4k","Barack Obama","Washington, DC",FALSE,2020-04-06
2020-04-06 18:45:29,"BarackObama","As she often does, @SenWarren provides a cogent summary of how federal policymakers should be thinking about the pandemic in the coming months. https://t.co/zkX0E7ncK5","Barack Obama","Washington, DC",FALSE,2020-04-06
2020-04-01 14:47:48,"BarackObama","It's Census Day and we all have a crucial role to play. Filling out the 2020 Census determines what the next decade will look like for your community: your roads, health care, schools, representation and more. Takes a few minutes by mail, phone or online. https://t.co/KzxFJKavmM","Barack Obama","Washington, DC",FALSE,2020-04-01
2020-03-31 15:19:04,"BarackObama","We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more consequences of climate denial. All of us, especially young people, have to demand better of our government at every level and vote this fall. https://t.co/K8Ucu7iVDK","Barack Obama","Washington, DC",FALSE,2020-03-31
2020-03-30 17:03:55,"BarackObama","So many Americans right now are stepping up to help their communities. Zohaib Begg, a 7-year-old from VA, is one of them. This inspiring kid has been gathering supplies from hotels to donate to the medical professionals at his local hospital. https://t.co/K8Pvp9Cyaq","Barack Obama","Washington, DC",FALSE,2020-03-30
2020-03-28 19:56:14,"BarackObama","We are grateful for what he did for this country. He carried the baton longer and surer than almost anybody. It falls to the rest of us now to pick it up and never stop moving forward until we finish what he started—that journey to justice.","Barack Obama","Washington, DC",FALSE,2020-03-28
2020-03-28 19:56:14,"BarackObama","What a joy it was to watch him pray and preach. I took heart in him saying, “We ain’t going back. We’ve come too far, marched too long, prayed too hard, wept too bitterly, bled too profusely, and died too young to let anybody turn back the clock on our journey to justice.”","Barack Obama","Washington, DC",FALSE,2020-03-28
